,x_tsne,y_tsne,row_id,x_1_topic_probability,1_topic,2_topic,3_topic,4_topic,5_topic,6_topic,7_topic
28,20.42216,-51.832874,28,0.5432374,0.42027202,0.0,0.0,0.0,0.0,0.54326916,0.015543019
29,-16.506762,18.23738,29,0.45429406,0.21914732,0.45432046,0.0,0.0,0.1010917,0.038627848,0.18164217
30,10.292078,-16.023031,30,0.6161813,0.61622465,0.051072318,0.0,0.06677152,0.0,0.24325757,0.0123786535
31,50.620815,12.4588995,31,0.62693757,0.0,0.0,0.05098503,0.08007399,0.0,0.62691665,0.22848772
32,37.245556,-27.634695,32,0.66136914,0.20408344,0.0,0.0,0.0,0.042830206,0.66135126,0.08379942
33,10.624753,21.654947,33,0.4870426,0.2302089,0.0,0.0,0.0,0.0,0.2704533,0.4870507
34,50.651752,-8.361999,34,0.6636156,0.06592343,0.03613712,0.032940023,0.028652728,0.034843147,0.6632111,0.13829237
35,-1.7331866,26.35145,35,0.4603537,0.15329328,0.19565384,0.0,0.0,0.0,0.18299459,0.46041036
36,20.068611,-0.75925046,36,0.38958758,0.37484267,0.0,0.0,0.0,0.0,0.38957202,0.20507105
37,23.246502,16.256088,37,0.41612548,0.22679096,0.0,0.0,0.0,0.0,0.34434313,0.41606468
38,68.40852,12.287162,38,0.79022306,0.01452797,0.0,0.0,0.0,0.0,0.79023033,0.1699302
39,50.346687,0.95409644,39,0.63095105,0.07939083,0.0,0.0,0.25416228,0.0,0.6309349,0.016454559
40,35.981056,5.1650777,40,0.38467458,0.27868554,0.0,0.0,0.38466734,0.0,0.32492322,0.0
41,1.237814,19.9647,41,0.5191049,0.37800345,0.019143386,0.0174341,0.015140773,0.018435964,0.03270958,0.51913273
42,19.287964,9.675485,42,0.32037622,0.32038155,0.0,0.0,0.049827024,0.0,0.30253053,0.3132862
43,50.80193,-39.26398,43,0.7881176,0.19779688,0.0,0.0,0.0,0.0,0.78812206,0.0
44,56.970592,-11.006445,44,0.7616584,0.0,0.13529609,0.0,0.040260367,0.05004294,0.76016617,0.0
45,67.972565,-11.108781,45,0.90272576,0.0,0.0,0.052409355,0.0,0.0,0.9214146,0.0
46,68.5334,-29.745682,46,0.93868107,0.015180266,0.0,0.0,0.0,0.0,0.93867254,0.017145297
47,18.364428,-12.236341,47,0.40630805,0.40629598,0.12399803,0.0,0.026346685,0.0,0.36733097,0.071375266
48,26.685396,-18.535955,48,0.5470315,0.28305054,0.0,0.0,0.06568578,0.0,0.54700875,0.09823772
49,49.454563,-19.880442,49,0.7357775,0.0,0.0,0.0,0.0,0.23003763,0.73579794,0.012196578
50,39.60111,39.393074,50,0.6143077,0.0124559095,0.0,0.050935958,0.0,0.0,0.30712146,0.61431295
51,16.369635,-38.80478,51,0.50658697,0.50655925,0.0,0.0,0.0,0.0,0.43512133,0.024326134
52,53.464897,-6.092203,52,0.71950144,0.0,0.12697284,0.0,0.0,0.049910814,0.7195865,0.09442001
53,18.697203,-2.423833,53,0.39423093,0.3942358,0.0,0.0,0.055129047,0.0,0.34815934,0.19067387
54,26.686531,-18.513329,54,0.5428641,0.27418658,0.0,0.0,0.07032402,0.0,0.5428378,0.10341422
55,46.04006,-48.2866,55,0.72974455,0.24077834,0.0,0.0,0.0,0.0,0.7297968,0.012179109
56,42.82662,-20.127048,56,0.56290996,0.0,0.0,0.0,0.0,0.42150912,0.5628996,0.0
57,45.470078,-46.616547,57,0.71860594,0.23255844,0.0,0.0,0.0,0.03567827,0.7185989,0.0
58,23.915812,-27.51963,58,0.48723394,0.2850586,0.0,0.0,0.0,0.21361719,0.48723495,0.0
59,9.70415,5.7241864,59,0.4169286,0.4169043,0.10614165,0.0,0.0,0.0,0.2207961,0.24975538
60,9.326216,5.046597,60,0.47957003,0.47955176,0.07281528,0.0,0.0,0.0,0.16579665,0.27116624
61,51.057007,-20.348003,61,0.74893063,0.052283857,0.0,0.0,0.0,0.18197048,0.74893445,0.0
62,21.873934,-38.204567,62,0.48411754,0.4539325,0.0,0.0,0.0,0.0,0.48412633,0.05335879
63,26.801653,-52.558174,63,0.5652648,0.34022453,0.0,0.0,0.0,0.08342289,0.565263,0.0
64,26.345282,-55.45973,64,0.60290027,0.36979893,0.0,0.0,0.0,0.0,0.6028947,0.010559411
65,53.177765,-20.1737,65,0.79103607,0.010568073,0.0,0.0,0.0,0.17074297,0.79103804,0.012780523
66,26.390772,-2.4219084,66,0.3317415,0.08557977,0.066432744,0.0,0.03681736,0.22768097,0.24942037,0.33174205
67,64.97706,-39.15702,67,0.95988804,0.0,0.0,0.0,0.0,0.0,0.95989186,0.013064922
68,35.39493,-42.17671,68,0.64592993,0.2903591,0.042311877,0.0,0.0,0.0,0.6459339,0.010711998
69,27.5056,-23.158571,69,0.53224194,0.08563727,0.0,0.0,0.0,0.34802935,0.5322758,0.017419022
70,24.676104,37.897182,70,0.62291163,0.12565099,0.0,0.0,0.0,0.0,0.23366733,0.62293404
71,43.105305,-19.926722,71,0.5812679,0.010473917,0.0,0.0,0.0,0.3843815,0.5812673,0.011152738
72,30.366238,-3.0800838,72,0.43607378,0.16360831,0.0,0.0,0.0,0.1892105,0.43605718,0.20322286
73,66.46843,-8.242514,73,0.7904833,0.0,0.09196278,0.08843021,0.0,0.0,0.79047877,0.011181646
74,32.646427,-29.309301,74,0.59412044,0.26042932,0.0,0.0,0.033397872,0.09960977,0.59412396,0.0
75,-2.5931265,-8.706793,75,0.8085278,0.80842847,0.0,0.0,0.0,0.0,0.13639866,0.021176537
76,16.924368,-0.37355134,76,0.4389111,0.43892908,0.0,0.0,0.0,0.0,0.32896674,0.19605908
77,28.26612,-31.099403,77,0.5818133,0.26092517,0.0,0.0,0.0,0.046039578,0.5819444,0.102867015
78,36.049057,-54.110092,78,0.6572476,0.31956628,0.0,0.0,0.0,0.0,0.6572443,0.0
79,40.47349,-39.362995,79,0.6773023,0.21291165,0.095778584,0.0,0.0,0.0,0.67730254,0.0
80,29.850855,15.615448,80,0.37991136,0.16715582,0.0,0.0,0.0,0.09696639,0.37988982,0.3432637
81,20.72478,7.2649007,81,0.40768754,0.288026,0.0,0.0,0.0,0.0,0.4076932,0.28879505
82,2.7150888,0.42397407,82,0.51503885,0.51502985,0.0652247,0.05938999,0.051787544,0.06261047,0.10238987,0.14356759
83,63.453175,1.4638685,83,0.7182463,0.06654668,0.036096852,0.032874495,0.028649975,0.034652133,0.7181468,0.08303308
84,29.963497,2.5524073,84,0.47219327,0.22756912,0.0,0.0,0.0,0.027937854,0.4722027,0.26548555
85,8.845492,0.25978163,85,0.4711216,0.4711344,0.0,0.0,0.0,0.0,0.28995413,0.2303171
86,42.982277,-32.098873,86,0.71476406,0.1882675,0.0,0.0,0.08268179,0.0,0.71474993,0.0
87,34.366222,-24.35683,87,0.6324243,0.1491526,0.038578138,0.0,0.0,0.16944332,0.63240767,0.0
88,45.4555,-42.57857,88,0.70032585,0.20965928,0.0,0.0,0.0,0.0,0.70031625,0.07749601
89,-13.410963,-25.810524,89,0.39945346,0.2650958,0.31944597,0.0,0.0,0.39946088,0.0,0.0
90,17.701696,-9.825975,90,0.47700682,0.47700906,0.122669555,0.0,0.0,0.054269634,0.33491927,0.0
91,-8.403902,76.26182,91,0.9289299,0.018838502,0.0,0.0,0.0,0.0,0.016118778,0.92893225
